# Noms de la població. 2020
# Comarques Gironines
# Font: Idescat, a partir del Registre de Població de Catalunya.
# Nota: ‰ calculat sobre el total de la població a la dècada seleccionada.
# Nota: Només es mostren els noms de freqüència igual o superior a 4.
# Institut d'Estadística de Catalunya
# http://www.idescat.cat/noms/?sexe=0&res=c2
# Pos.;Sexe;Nom;Rànquing. Freqüència;Rànquing. ‰
00156;D;ELISABET;1032;1,36
00156;D;MARÍA JOSÉ;1032;1,36
00158;D;MARIA LUISA/MARÍA LUISA;1012;1,33
00159;D;ANDREA;992;1,31
00160;D;MARIA ÀNGELS;984;1,30
00161;H;JUAN ANTONIO;967;1,27
00162;D;LUCÍA;947;1,25
00163;D;JANA;931;1,23
00164;D;LOURDES;924;1,22
00165;H;ISAAC;914;1,20
00166;D;NEUS;899;1,18
00167;D;MARIONA;896;1,18
00168;H;ADRIÁN;895;1,18
00169;H;ANDRÉS;890;1,17
00170;H;CRISTIÁN;885;1,17
00171;H;RUBÈN/RUBÉN;872;1,15
00172;D;JUDITH;870;1,15
00173;D;JOANA;865;1,14
00174;H;ADAM;858;1,13
00175;D;CATALINA;827;1,09
00176;H;JUAN MANUEL;825;1,09
00177;D;ABRIL;821;1,08
00178;D;NORA;813;1,07
00179;D;MERITXELL;812;1,07
00180;D;MAR;811;1,07
00181;D;VICTÒRIA/VICTORIA;806;1,06
00182;H;GABRIEL;796;1,05
00183;H;DIEGO;786;1,04
00184;H;ANIOL;765;1,01
00185;H;YOUSSEF;752;0,99
00186;D;PATRÍCIA/PATRICIA;741;0,98
00187;H;EDUARDO;740;0,97
00188;H;LLUC;738;0,97
00189;D;ALÍCIA/ALICIA;737;0,97
00190;H;TOMÀS/TOMÁS;735;0,97
00191;D;ONA;731;0,96
00192;H;MANEL;728;0,96
00193;D;CAROLINA;705;0,93
00194;H;MARCOS;693;0,91
00194;H;RICARDO;693;0,91
00196;H;OMAR;687;0,91
00197;H;ELOI;686;0,90
00197;D;VERÒNICA/VERÓNICA;686;0,90
00199;D;MARIA DEL MAR/ MARÍA DEL MAR;682;0,90
00200;H;ISMAEL;678;0,89
00201;D;MARIA JOSEFA/MARÍA JOSEFA;672;0,89
00202;D;ALEXANDRA;668;0,88
00203;H;RICARD;665;0,88
00204;D;HELENA;662;0,87
00205;D;CONCEPCIÓ;656;0,86
00206;D;TÀNIA/TANIA;655;0,86
00207;H;ROBERT;654;0,86
00208;H;EMILIO;650;0,86
00208;H;PABLO;650;0,86
00210;D;MAGDALENA;643;0,85
00211;H;VICENTE;641;0,84
00212;D;EMÍLIA/EMILIA;618;0,81
00213;H;ALFONSO;616;0,81
00214;H;ANDREU;609;0,80
00215;D;MARIA ANTONIA/MARÍA ANTONIA;604;0,80
00215;D;SOFÍA/SOFIA;604;0,80
00217;H;MARIO;599;0,79
00218;H;ALEXANDRE;588;0,77
00219;D;MARIA JESÚS/MARÍA JESÚS;584;0,77
00220;H;IKER;579;0,76
00220;H;SAID/SAÏD;579;0,76
00222;H;HUGO;578;0,76
00223;H;MAHAMADOU;575;0,76
00224;D;MARIA MERCEDES/MARÍA MERCEDES;574;0,76
00225;D;INMACULADA;573;0,75
00226;H;MARTÍN;565;0,74
00227;H;AGUSTÍN;564;0,74
00227;H;SEBASTIAN/SEBASTIÁN;564;0,74
00229;D;XÈNIA/XENIA;544;0,72
00230;H;ESTEBAN;538;0,71
00230;D;IRINA;538;0,71
00232;H;RACHID;536;0,71
00233;D;MARIA ASUNCIÓN/MARÍA ASUNCIÓN;532;0,70
00234;D;IMMACULADA;529;0,70
00235;D;JOAQUINA;528;0,70
00235;H;MUSTAPHA;528;0,70
00237;D;JÈSSICA/JESSICA;527;0,69
00238;D;LUISA;521;0,69
00239;D;NOÈLIA/NOELIA;518;0,68
00240;H;ESTEVE;517;0,68
00240;D;ÍNGRID;517;0,68
00242;H;ALI/ALÍ;516;0,68
00243;D;ÁNGELES;515;0,68
00244;H;JULIÁN;511;0,67
00245;D;MARIA MERCÈ/MARÍA MERCÈ;509;0,67
00245;D;NOA;509;0,67
00247;D;NEREA;508;0,67
00248;D;BEATRIZ;507;0,67
00249;D;VANESA;503;0,66
00250;H;BERNAT;502;0,66
00250;H;FÈLIX/FÉLIX;502;0,66
00252;D;VALENTINA;500;0,66
00253;H;AITOR;498;0,66
00254;D;AIDA/AÏDA/AÍDA;490;0,65
00255;D;KHADIJA;488;0,64
00256;D;FRANCESCA;484;0,64
00257;D;DANIELA;483;0,64
00258;D;MARIA ELENA/MARÍA ELENA;481;0,63
00259;D;IVET;472;0,62
00260;D;NÀDIA/NADIA;470;0,62
00261;H;ROBERTO;469;0,62
00262;D;AINHOA;467;0,62
00263;D;ADRIANA;465;0,61
00264;D;NOEMÍ/NOEMI;460;0,61
00265;D;ENRIQUETA;455;0,60
00266;D;CÈLIA/CELIA;454;0,60
00267;D;ARLET;451;0,59
00268;D;AURORA;450;0,59
00269;H;FRANCISCO JOSÉ;448;0,59
00270;D;VANESSA;445;0,59
